"x"	"f(x)"	"analytical f'(x)"	"numerical f'(x)"	"analytical f''(x)"	"numerical f''(x)"
-5.000000	890.478955	-1038.892114	-1032.977788	1187.305273	1174.034256
-4.990000	880.149177	-1027.085600	-1021.237445	1174.022024	1160.897664
-4.980000	869.936802	-1015.411184	-1009.628468	1160.885566	1147.906259
-4.970000	859.840518	-1003.867405	-998.149406	1147.894292	1135.058451
-4.960000	849.859024	-992.452819	-986.798821	1135.046615	1122.352669
-4.950000	839.991035	-981.165999	-975.575295	1122.340963	1109.787359
-4.940000	830.235282	-970.005532	-964.477421	1109.775782	1097.360984
-4.930000	820.590508	-958.970021	-953.503811	1097.349533	1085.072022
-4.920000	811.055470	-948.058083	-942.653091	1085.060696	1072.918970
-4.910000	801.628939	-937.268354	-931.923901	1072.907768	1060.900338
-4.900000	792.309700	-926.599480	-921.314898	1060.889260	1049.014657
-4.890000	783.096551	-916.050125	-910.824751	1049.003699	1037.260469
-4.880000	773.988304	-905.618968	-900.452147	1037.249631	1025.636335
-4.870000	764.983782	-895.304699	-890.195783	1025.625616	1014.140830
-4.860000	756.081824	-885.106026	-880.054375	1014.130229	1002.772546
-4.850000	747.281281	-875.021670	-870.026650	1002.762060	991.530088
-4.840000	738.581014	-865.050366	-860.111349	991.519718	980.412079
-4.830000	729.979901	-855.190861	-850.307228	980.401822	969.417154
-4.820000	721.476828	-845.441919	-840.613056	969.407010	958.543966
-4.810000	713.070698	-835.802315	-831.027617	958.533933	947.791180
-4.800000	704.760422	-826.270839	-821.549705	947.781257	937.157477
-4.790000	696.544925	-816.846293	-812.178130	937.147662	926.641550
-4.780000	688.423143	-807.527493	-802.911715	926.631843	916.242111
-4.770000	680.394026	-798.313268	-793.749293	916.232510	905.957880
-4.760000	672.456533	-789.202459	-784.689715	905.948385	895.787596
-4.750000	664.609636	-780.193921	-775.731839	895.778205	885.730009
-4.740000	656.852318	-771.286519	-766.874539	885.720721	875.783883
-4.730000	649.183572	-762.479135	-758.116700	875.774697	865.947996
-4.720000	641.602405	-753.770658	-749.457220	865.938911	856.221139
-4.710000	634.107833	-745.159993	-740.895008	856.212153	846.602115
-4.700000	626.698883	-736.646055	-732.428987	846.593228	837.089743
-4.690000	619.374593	-728.227773	-724.058090	837.080953	827.682851
-4.680000	612.134012	-719.904085	-715.781261	827.674157	818.380283
-4.670000	604.976200	-711.673942	-707.597459	818.371684	809.180893
-4.660000	597.900225	-703.536307	-699.505650	809.172389	800.083550
-4.650000	590.905169	-695.490154	-691.504814	800.075140	791.087134
-4.640000	583.990120	-687.534468	-683.593943	791.078816	782.190536
-4.630000	577.154181	-679.668245	-675.772037	782.182309	773.392661
-4.620000	570.396461	-671.890493	-668.038111	773.384525	764.692426
-4.610000	563.716079	-664.200229	-660.391187	764.684379	756.088758
-4.600000	557.112168	-656.596483	-652.830299	756.080799	747.580596
-4.590000	550.583865	-649.078295	-645.354493	747.572725	739.166893
-4.580000	544.130320	-641.644714	-637.962824	739.159108	730.846610
-4.570000	537.750691	-634.294801	-630.654358	730.838911	722.618722
-4.560000	531.444148	-627.027628	-623.428171	722.611108	714.482214
-4.550000	525.209866	-619.842274	-616.283349	714.474683	706.436081
-4.540000	519.047033	-612.737833	-609.218988	706.428633	698.479332
-4.530000	512.954843	-605.713404	-602.234194	698.471965	690.610982
-4.520000	506.932501	-598.768099	-595.328085	690.603697	682.830063
-4.510000	500.979220	-591.901039	-588.499784	682.822857	675.135611
-4.500000	495.094222	-585.111353	-581.748428	675.128485	667.526678
-4.490000	489.276738	-578.398184	-575.073161	667.519630	660.002322
-4.480000	483.526006	-571.760679	-568.473138	659.995352	652.561615
-4.470000	477.841275	-565.197998	-561.947522	652.554721	645.203636
-4.460000	472.221800	-558.709309	-555.495485	645.196818	637.927476
-4.450000	466.666845	-552.293789	-549.116211	637.920733	630.732235
-4.440000	461.175683	-545.950624	-542.808888	630.725566	623.617023
-4.430000	455.747594	-539.679011	-536.572718	623.610428	616.580960
-4.420000	450.381867	-533.478152	-530.406908	616.574437	609.623176
-4.410000	445.077798	-527.347261	-524.310677	609.616725	602.742808
-4.400000	439.834691	-521.285559	-518.283249	602.736428	595.939006
-4.390000	434.651858	-515.292277	-512.323859	595.932696	589.210927
-4.380000	429.528620	-509.366653	-506.431749	589.204687	582.557738
-4.370000	424.464302	-503.507934	-500.606172	582.551566	575.978613
-4.360000	419.458241	-497.715375	-494.846386	575.972509	569.472739
-4.350000	414.509777	-491.988240	-489.151658	569.466703	563.039309
-4.340000	409.618260	-486.325799	-483.521265	563.033339	556.677525
-4.330000	404.783047	-480.727334	-477.954490	556.671621	550.386599
-4.320000	400.003503	-475.192131	-472.450624	550.380759	544.165750
-4.310000	395.278996	-469.719485	-467.008967	544.159974	538.014206
-4.300000	390.608907	-464.308700	-461.628824	538.008494	531.931204
-4.290000	385.992618	-458.959087	-456.309512	531.925555	525.915990
-4.280000	381.429523	-453.669963	-451.050353	525.910403	519.967816
-4.270000	376.919020	-448.440655	-445.850674	519.962291	514.085944
-4.260000	372.460513	-443.270496	-440.709815	514.080480	508.269643
-4.250000	368.053415	-438.158827	-435.627119	508.264240	502.518192
-4.240000	363.697144	-433.104995	-430.601937	502.512847	496.830874
-4.230000	359.391124	-428.108356	-425.633628	496.825589	491.206984
-4.220000	355.134788	-423.168272	-420.721558	491.201757	485.645822
-4.210000	350.927572	-418.284112	-415.865100	485.640652	480.146696
-4.200000	346.768921	-413.455252	-411.063633	480.141583	474.708923
-4.190000	342.658285	-408.681076	-406.316544	474.703867	469.331827
-4.180000	338.595120	-403.960973	-401.623225	469.326826	464.014737
-4.170000	334.578887	-399.294340	-396.983078	464.009792	458.756993
-4.160000	330.609057	-394.680579	-392.395508	458.752102	453.557939
-4.150000	326.685102	-390.119102	-387.859929	453.553102	448.416929
-4.140000	322.806502	-385.609324	-383.375759	448.412145	443.333321
-4.130000	318.972745	-381.150668	-378.942426	443.328591	438.306483
-4.120000	315.183320	-376.742563	-374.559361	438.301805	433.335789
-4.110000	311.437727	-372.384444	-370.226003	433.331162	428.420618
-4.100000	307.735467	-368.075754	-365.941797	428.416042	423.560357
-4.090000	304.076049	-363.815940	-361.706194	423.555832	418.754402
-4.080000	300.458987	-359.604457	-357.518650	418.749927	414.002151
-4.070000	296.883800	-355.440763	-353.378628	413.997726	409.303013
-4.060000	293.350014	-351.324325	-349.285598	409.298636	404.656401
-4.050000	289.857158	-347.254615	-345.239034	404.652072	400.061734
-4.040000	286.404768	-343.231111	-341.238417	400.057453	395.518440
-4.030000	282.992384	-339.253295	-337.283232	395.514206	391.025950
-4.020000	279.619551	-335.320657	-333.372973	391.021763	386.583703
-4.010000	276.285822	-331.432692	-329.507136	386.579563	382.191145
-4.000000	272.990750	-327.588900	-325.685224	382.187050	377.847726
-3.990000	269.733898	-323.788787	-321.906747	377.843677	373.552904
-3.980000	266.514830	-320.031865	-318.171218	373.548899	369.306141
-3.970000	263.333118	-316.317649	-314.478157	369.302180	365.106905
-3.960000	260.188337	-312.645663	-310.827088	365.102989	360.954673
-3.950000	257.080066	-309.015433	-307.217541	360.950800	356.848924
-3.940000	254.007890	-305.426492	-303.649052	356.845093	352.789144
-3.930000	250.971400	-301.878378	-300.121160	352.785355	348.774824
-3.920000	247.970188	-298.370633	-296.633412	348.771078	344.805463
-3.910000	245.003854	-294.902806	-293.185357	344.801758	340.880563
-3.900000	242.072001	-291.474450	-289.776552	340.876899	336.999632
-3.890000	239.174235	-288.085122	-286.406555	336.996008	333.162183
-3.880000	236.310170	-284.734385	-283.074933	333.158600	329.367736
-3.870000	233.479420	-281.421806	-279.781256	329.364192	325.615815
-3.860000	230.681608	-278.146959	-276.525098	325.612310	321.905949
-3.850000	227.916357	-274.909420	-273.306038	321.902483	318.237673
-3.840000	225.183296	-271.708771	-270.123662	318.234245	314.610526
-3.830000	222.482060	-268.544598	-266.977556	314.607136	311.024053
-3.820000	219.812284	-265.416492	-263.867316	311.020701	307.477803
-3.810000	217.173611	-262.324050	-260.792538	307.474489	303.971333
-3.800000	214.565686	-259.266870	-257.752825	303.968055	300.504200
-3.790000	211.988157	-256.244558	-254.747783	300.500958	297.075969
-3.780000	209.440679	-253.256721	-251.777023	297.072763	293.686209
-3.770000	206.922909	-250.302974	-248.840161	293.683039	290.334495
-3.760000	204.434508	-247.382934	-245.936816	290.331360	287.020404
-3.750000	201.975140	-244.496222	-243.066612	287.017304	283.743520
-3.740000	199.544473	-241.642464	-240.229177	283.740454	280.503430
-3.730000	197.142182	-238.821290	-237.424142	280.500398	277.299727
-3.720000	194.767940	-236.032334	-234.651145	277.296728	274.132007
-3.710000	192.421429	-233.275235	-231.909825	274.129042	270.999872
-3.700000	190.102330	-230.549635	-229.199826	270.996939	267.902926
-3.690000	187.810332	-227.855179	-226.520797	267.900026	264.840780
-3.680000	185.545124	-225.191518	-223.872389	264.837912	261.813048
-3.670000	183.306400	-222.558306	-221.254259	261.810212	258.819348
-3.660000	181.093858	-219.955201	-218.666065	258.816544	255.859303
-3.650000	178.907197	-217.381863	-216.107472	255.856529	252.932538
-3.640000	176.746122	-214.837959	-213.578147	252.929796	250.038686
-3.630000	174.610341	-212.323158	-211.077760	250.035974	247.177381
-3.620000	172.499563	-209.837131	-208.605986	247.174699	244.348261
-3.610000	170.413503	-207.379556	-206.162504	244.345609	241.550970
-3.600000	168.351878	-204.950113	-203.746994	241.548347	238.785154
-3.590000	166.314409	-202.548484	-201.359142	238.782560	236.050464
-3.580000	164.300817	-200.174358	-198.998638	236.047899	233.346553
-3.570000	162.310831	-197.827424	-196.665172	233.344017	230.673082
-3.560000	160.344179	-195.507376	-194.358441	230.670573	228.029710
-3.550000	158.400595	-193.213912	-192.078144	228.027230	225.416104
-3.540000	156.479813	-190.946732	-189.823983	225.413652	222.831934
-3.530000	154.581573	-188.705541	-187.595664	222.829509	220.276872
-3.520000	152.705617	-186.490045	-185.392895	220.274474	217.750595
-3.510000	150.851688	-184.299955	-183.215389	217.748223	215.252783
-3.500000	149.019534	-182.134986	-181.062861	215.250438	212.783120
-3.490000	147.208905	-179.994853	-178.935030	212.780801	210.341293
-3.480000	145.419555	-177.879277	-176.831617	210.338999	207.926992
-3.470000	143.651239	-175.787981	-174.752347	207.924724	205.539911
-3.460000	141.903715	-173.720692	-172.696948	205.537668	203.179749
-3.450000	140.176746	-171.677138	-170.665151	203.177530	200.846204
-3.440000	138.470094	-169.657052	-168.656689	200.844011	198.538982
-3.430000	136.783527	-167.660170	-166.671299	198.536813	196.257789
-3.420000	135.116814	-165.686229	-164.708721	196.255644	194.002337
-3.410000	133.469727	-163.734971	-162.768698	194.000216	191.772338
-3.400000	131.842040	-161.806140	-160.850974	191.770240	189.567509
-3.390000	130.233530	-159.899483	-158.955299	189.565435	187.387571
-3.380000	128.643977	-158.014749	-157.081423	187.385520	185.232246
-3.370000	127.073163	-156.151690	-155.229101	185.230217	183.101260
-3.360000	125.520872	-154.310063	-153.398088	183.099254	180.994342
-3.350000	123.986891	-152.489625	-151.588145	180.992359	178.911225
-3.340000	122.471010	-150.690137	-149.799033	178.909263	176.851642
-3.330000	120.973020	-148.911361	-148.030516	176.849703	174.815333
-3.320000	119.492714	-147.153065	-146.282363	174.813416	172.802038
-3.310000	118.029891	-145.415016	-144.554343	172.800142	170.811500
-3.300000	116.584347	-143.696986	-142.846228	170.809625	168.843467
-3.290000	115.155885	-141.998749	-141.157793	168.841612	166.897686
-3.280000	113.744307	-140.320080	-139.488816	166.895853	164.973911
-3.270000	112.349419	-138.660758	-137.839077	164.972098	163.071896
-3.260000	110.971028	-137.020565	-136.208358	163.070103	161.191398
-3.250000	109.608945	-135.399285	-134.596444	161.189624	159.332177
-3.240000	108.262980	-133.796702	-133.003122	159.330424	157.493997
-3.230000	106.932949	-132.212606	-131.428182	157.492263	155.676622
-3.220000	105.618667	-130.646787	-129.871416	155.674908	153.879821
-3.210000	104.319953	-129.099039	-128.332618	153.878125	152.103364
-3.200000	103.036627	-127.569157	-126.811584	152.101687	150.347024
-3.190000	101.768511	-126.056938	-125.308114	150.345366	148.610576
-3.180000	100.515430	-124.562183	-123.822008	148.608937	146.893799
-3.170000	99.277210	-123.084694	-122.353070	146.892178	145.196474
-3.160000	98.053679	-121.624275	-120.901105	145.194871	143.518382
-3.150000	96.844668	-120.180733	-119.465922	143.516797	141.859310
-3.140000	95.650009	-118.753876	-118.047328	141.857743	140.219044
-3.130000	94.469536	-117.343515	-116.645138	140.217495	138.597376
-3.120000	93.303084	-115.949464	-115.259164	138.595843	136.994097
-3.110000	92.150492	-114.571537	-113.889223	136.992581	135.409001
-3.100000	91.011600	-113.209552	-112.535133	135.407503	133.841886
-3.090000	89.886249	-111.863327	-111.196714	133.840405	132.292552
-3.080000	88.774282	-110.532684	-109.873789	132.291087	130.760798
-3.070000	87.675544	-109.217447	-108.566181	130.759349	129.246429
-3.060000	86.589882	-107.917439	-107.273717	129.244996	127.749250
-3.050000	85.517145	-106.632489	-105.996224	127.747834	126.269070
-3.040000	84.457183	-105.362426	-104.733533	126.267669	124.805698
-3.030000	83.409847	-104.107080	-103.485476	124.804313	123.358945
-3.020000	82.374993	-102.866284	-102.251887	123.357576	121.928628
-3.010000	81.352474	-101.639874	-101.032601	121.927274	120.514561
-3.000000	80.342148	-100.427685	-99.827455	120.513222	119.116562
-2.990000	79.343873	-99.229556	-98.636290	119.115238	117.734453
-2.980000	78.357510	-98.045327	-97.458945	117.733144	116.368055
-2.970000	77.382921	-96.874840	-96.295264	116.366760	115.017192
-2.960000	76.419968	-95.717940	-95.145093	115.015912	113.681690
-2.950000	75.468517	-94.574471	-94.008276	113.680425	112.361379
-2.940000	74.528434	-93.444281	-92.884662	112.360127	111.056086
